[shard 5] 5,444 rows (181/s)
[shard 5] 11,216 rows (187/s)
[shard 5] 16,761 rows (186/s)
[shard 5] 22,249 rows (185/s)
[shard 5] 27,099 rows (181/s)
[shard 5] 32,846 rows (182/s)
[shard 5] 39,742 rows (189/s)
[shard 5] 44,001 rows (183/s)
[shard 5] 51,513 rows (190/s)
[shard 5] 60,753 rows (202/s)
[shard 5] 67,074 rows (203/s)
[shard 5] 75,541 rows (210/s)
[shard 5] 83,974 rows (215/s)
[shard 5] 90,182 rows (214/s)
[shard 5] 96,435 rows (214/s)
[shard 5] 104,001 rows (216/s)
[shard 5] 112,905 rows (220/s)
[shard 5] 120,823 rows (223/s)
[shard 5] 130,001 rows (226/s)
[shard 5] 138,001 rows (228/s)
[shard 5] 145,056 rows (228/s)
[shard 5] 152,835 rows (230/s)
[shard 5] 161,961 rows (233/s)
[shard 5] 166,102 rows (229/s)
[shard 5] 171,876 rows (228/s)
[shard 5] 176,037 rows (224/s)
[shard 5] 180,001 rows (221/s)
[shard 5] 184,001 rows (217/s)
[shard 5] 188,001 rows (214/s)
[shard 5] 192,001 rows (211/s)
[shard 5] 196,036 rows (209/s)
[shard 5] 202,001 rows (208/s)
[shard 5] 207,660 rows (207/s)
[shard 5] 212,429 rows (206/s)
[shard 5] 217,752 rows (205/s)
[shard 5] 220,792 rows (202/s)
[shard 5] 224,001 rows (199/s)
[shard 5] 229,668 rows (199/s)
[shard 5] 233,326 rows (197/s)
[shard 5] 236,130 rows (195/s)
[shard 5] 240,573 rows (194/s)
[shard 5] 244,592 rows (192/s)
[shard 5] 248,464 rows (191/s)
[shard 5] 252,908 rows (190/s)
[shard 5] 257,253 rows (189/s)
[shard 5] 261,764 rows (188/s)
[shard 5] 264,552 rows (186/s)
[shard 5] 268,001 rows (184/s)
[shard 5] 272,001 rows (182/s)
[shard 5] 275,313 rows (181/s)
[shard 5] 278,001 rows (179/s)
[shard 5] 282,001 rows (178/s)
[shard 5] 286,001 rows (177/s)
[shard 5] 289,691 rows (176/s)
[shard 5] 292,001 rows (174/s)
[shard 5] 295,016 rows (173/s)
[shard 5] 298,001 rows (170/s)
[shard 5] 301,948 rows (170/s)
[shard 5] 304,001 rows (167/s)
[shard 5] 307,093 rows (166/s)
[shard 5] 310,001 rows (165/s)
[shard 5] 314,001 rows (163/s)
[shard 5] 316,001 rows (162/s)
[shard 5] 319,060 rows (161/s)
[shard 5] 322,001 rows (160/s)
[shard 5] 324,124 rows (158/s)
[shard 5] 327,498 rows (158/s)
[shard 5] 330,001 rows (156/s)
[shard 5] 334,001 rows (155/s)
[shard 5] 336,001 rows (154/s)
[shard 5] 338,111 rows (153/s)
[shard 5] 341,515 rows (152/s)
[shard 5] 344,001 rows (151/s)
[shard 5] 347,352 rows (150/s)
[shard 5] 349,519 rows (149/s)
[shard 5] 351,024 rows (148/s)
[shard 5] 354,001 rows (147/s)
[shard 5] 357,535 rows (147/s)
[shard 5] 359,731 rows (146/s)
[shard 5] 363,045 rows (145/s)
[shard 5] 366,001 rows (145/s)
[shard 5] 370,001 rows (144/s)
[shard 5] 374,001 rows (143/s)
[shard 5] 377,908 rows (143/s)
[shard 5] 379,796 rows (142/s)
[shard 5] 382,001 rows (141/s)
[shard 5] 384,375 rows (140/s)
[shard 5] 387,800 rows (140/s)
[shard 5] 389,370 rows (139/s)
[shard 5] 390,368 rows (138/s)
[shard 5] 394,001 rows (137/s)
[shard 5] 396,001 rows (136/s)
[shard 5] 399,855 rows (136/s)
[shard 5] 402,001 rows (135/s)
[shard 5] 406,001 rows (134/s)
[shard 5] 409,572 rows (134/s)
[shard 5] 413,182 rows (134/s)
[shard 5] 416,001 rows (133/s)
[shard 5] 420,001 rows (132/s)
[shard 5] 424,001 rows (132/s)
[shard 5] 428,001 rows (132/s)
[shard 5] 432,001 rows (132/s)
[shard 5] 436,124 rows (132/s)
[shard 5] 438,499 rows (131/s)
[shard 5] 440,883 rows (131/s)
[shard 5] 443,540 rows (130/s)
[shard 5] 444,073 rows (129/s)
[shard 5] 446,070 rows (129/s)
[shard 5] 450,001 rows (129/s)
[shard 5] 454,909 rows (129/s)
[shard 5] 460,001 rows (129/s)
[shard 5] 466,562 rows (130/s)
[shard 5] 475,206 rows (131/s)
[shard 5] 482,001 rows (132/s)
[shard 5] 488,001 rows (133/s)
[shard 5] 494,001 rows (133/s)
[shard 5] 500,001 rows (134/s)
[shard 5] 506,810 rows (134/s)
[shard 5] 514,001 rows (135/s)
[shard 5] 522,001 rows (136/s)
[shard 5] 530,210 rows (137/s)
[shard 5] 540,001 rows (138/s)
[shard 5] 550,558 rows (140/s)
[shard 5] 560,232 rows (141/s)
[shard 5] 572,167 rows (143/s)
[shard 5] 582,119 rows (145/s)
[shard 5] 592,926 rows (146/s)
[shard 5] 602,001 rows (148/s)
[shard 5] 613,147 rows (149/s)
[shard 5] 625,648 rows (151/s)
[shard 5] 641,353 rows (154/s)
[shard 5] 660,001 rows (157/s)
[shard 5] 678,001 rows (160/s)
[shard 5] 697,883 rows (164/s)
[shard 5] DONE 711,196 opinions, 3,876,031 anchored cites in 71.4 min
