[shard 6] 7,904 rows (263/s)
[shard 6] 16,946 rows (282/s)
[shard 6] 24,707 rows (274/s)
[shard 6] 30,908 rows (257/s)
[shard 6] 36,001 rows (238/s)
[shard 6] 42,001 rows (231/s)
[shard 6] 50,261 rows (237/s)
[shard 6] 58,341 rows (241/s)
[shard 6] 68,001 rows (249/s)
[shard 6] 78,001 rows (257/s)
[shard 6] 85,773 rows (257/s)
[shard 6] 93,137 rows (256/s)
[shard 6] 100,347 rows (255/s)
[shard 6] 106,731 rows (252/s)
[shard 6] 114,001 rows (251/s)
[shard 6] 122,196 rows (253/s)
[shard 6] 131,130 rows (255/s)
[shard 6] 140,326 rows (258/s)
[shard 6] 149,365 rows (260/s)
[shard 6] 157,888 rows (262/s)
[shard 6] 164,240 rows (259/s)
[shard 6] 171,664 rows (259/s)
[shard 6] 178,221 rows (257/s)
[shard 6] 184,001 rows (253/s)
[shard 6] 190,001 rows (250/s)
[shard 6] 196,001 rows (247/s)
[shard 6] 202,001 rows (245/s)
[shard 6] 208,550 rows (244/s)
[shard 6] 214,001 rows (241/s)
[shard 6] 222,001 rows (240/s)
[shard 6] 228,479 rows (239/s)
[shard 6] 234,712 rows (238/s)
[shard 6] 241,797 rows (238/s)
[shard 6] 251,418 rows (240/s)
[shard 6] 258,678 rows (240/s)
[shard 6] 265,521 rows (240/s)
[shard 6] 270,001 rows (238/s)
[shard 6] 278,001 rows (238/s)
[shard 6] 283,951 rows (237/s)
[shard 6] 290,001 rows (236/s)
[shard 6] 298,001 rows (236/s)
[shard 6] 306,022 rows (237/s)
[shard 6] 314,813 rows (238/s)
[shard 6] 324,001 rows (239/s)
[shard 6] 335,296 rows (242/s)
[shard 6] 345,707 rows (245/s)
[shard 6] 352,150 rows (244/s)
[shard 6] 358,846 rows (243/s)
[shard 6] 366,174 rows (243/s)
[shard 6] 373,435 rows (243/s)
[shard 6] 380,643 rows (243/s)
[shard 6] 390,001 rows (244/s)
[shard 6] 398,808 rows (245/s)
[shard 6] 406,241 rows (245/s)
[shard 6] 412,001 rows (244/s)
[shard 6] 418,001 rows (243/s)
[shard 6] 424,473 rows (243/s)
[shard 6] 432,001 rows (242/s)
[shard 6] 437,023 rows (241/s)
[shard 6] 444,001 rows (240/s)
[shard 6] 450,001 rows (239/s)
[shard 6] 456,001 rows (238/s)
[shard 6] 461,236 rows (237/s)
[shard 6] 466,487 rows (236/s)
[shard 6] 473,680 rows (236/s)
[shard 6] 478,001 rows (235/s)
[shard 6] 484,311 rows (234/s)
[shard 6] 490,001 rows (233/s)
[shard 6] 497,148 rows (233/s)
[shard 6] 501,404 rows (232/s)
[shard 6] 506,205 rows (231/s)
[shard 6] 512,001 rows (230/s)
[shard 6] 516,668 rows (229/s)
[shard 6] 522,001 rows (228/s)
[shard 6] 527,948 rows (228/s)
[shard 6] 532,001 rows (226/s)
[shard 6] 538,001 rows (226/s)
[shard 6] 544,696 rows (226/s)
[shard 6] 549,735 rows (225/s)
[shard 6] 554,001 rows (224/s)
[shard 6] 560,001 rows (223/s)
[shard 6] 566,001 rows (223/s)
[shard 6] 572,130 rows (223/s)
[shard 6] 578,779 rows (223/s)
[shard 6] 585,531 rows (223/s)
[shard 6] 590,001 rows (222/s)
[shard 6] 596,001 rows (221/s)
[shard 6] 600,855 rows (221/s)
[shard 6] 606,001 rows (220/s)
[shard 6] 609,199 rows (219/s)
[shard 6] 613,669 rows (218/s)
[shard 6] 618,001 rows (216/s)
[shard 6] 622,001 rows (214/s)
[shard 6] 628,001 rows (214/s)
[shard 6] 633,843 rows (214/s)
[shard 6] 638,766 rows (213/s)
[shard 6] 642,623 rows (212/s)
[shard 6] 648,001 rows (212/s)
[shard 6] 655,423 rows (212/s)
[shard 6] 660,001 rows (212/s)
[shard 6] 664,894 rows (211/s)
[shard 6] 670,544 rows (211/s)
[shard 6] 678,001 rows (211/s)
[shard 6] 683,082 rows (211/s)
[shard 6] 689,712 rows (211/s)
[shard 6] 698,001 rows (211/s)
[shard 6] 706,302 rows (212/s)
[shard 6] 713,034 rows (212/s)
[shard 6] 719,443 rows (212/s)
[shard 6] 725,104 rows (212/s)
[shard 6] 732,390 rows (212/s)
[shard 6] 741,517 rows (213/s)
[shard 6] 748,001 rows (213/s)
[shard 6] 754,001 rows (213/s)
[shard 6] 762,001 rows (213/s)
[shard 6] 770,001 rows (213/s)
[shard 6] 778,001 rows (214/s)
[shard 6] 786,726 rows (214/s)
[shard 6] DONE 794,720 opinions, 2,971,583 anchored cites in 61.7 min
