[shard 2] 7,731 rows (258/s)
[shard 2] 17,040 rows (284/s)
[shard 2] 23,460 rows (261/s)
[shard 2] 30,220 rows (252/s)
[shard 2] 36,988 rows (247/s)
[shard 2] 43,678 rows (243/s)
[shard 2] 50,017 rows (238/s)
[shard 2] 56,242 rows (234/s)
[shard 2] 66,001 rows (243/s)
[shard 2] 74,001 rows (245/s)
[shard 2] 79,138 rows (238/s)
[shard 2] 84,001 rows (231/s)
[shard 2] 90,001 rows (229/s)
[shard 2] 95,091 rows (224/s)
[shard 2] 101,380 rows (223/s)
[shard 2] 107,438 rows (222/s)
[shard 2] 114,001 rows (221/s)
[shard 2] 121,519 rows (223/s)
[shard 2] 128,167 rows (223/s)
[shard 2] 134,316 rows (222/s)
[shard 2] 140,440 rows (221/s)
[shard 2] 146,689 rows (221/s)
[shard 2] 153,123 rows (220/s)
[shard 2] 158,678 rows (219/s)
[shard 2] 164,181 rows (217/s)
[shard 2] 170,478 rows (217/s)
[shard 2] 176,001 rows (216/s)
[shard 2] 181,854 rows (215/s)
[shard 2] 187,903 rows (215/s)
[shard 2] 194,045 rows (214/s)
[shard 2] 201,729 rows (216/s)
[shard 2] 208,420 rows (216/s)
[shard 2] 216,246 rows (217/s)
[shard 2] 224,900 rows (219/s)
[shard 2] 232,500 rows (220/s)
[shard 2] 238,001 rows (219/s)
[shard 2] 244,693 rows (219/s)
[shard 2] 251,399 rows (219/s)
[shard 2] 258,440 rows (220/s)
[shard 2] 265,520 rows (220/s)
[shard 2] 270,001 rows (218/s)
[shard 2] 274,001 rows (216/s)
[shard 2] 279,174 rows (215/s)
[shard 2] 283,140 rows (213/s)
[shard 2] 287,021 rows (211/s)
[shard 2] 290,862 rows (209/s)
[shard 2] 294,001 rows (206/s)
[shard 2] 297,715 rows (204/s)
[shard 2] 300,001 rows (201/s)
[shard 2] 302,588 rows (199/s)
[shard 2] 305,477 rows (197/s)
[shard 2] 308,001 rows (194/s)
[shard 2] 311,421 rows (193/s)
[shard 2] 313,059 rows (190/s)
[shard 2] 314,827 rows (188/s)
[shard 2] 318,001 rows (185/s)
[shard 2] 321,000 rows (183/s)
[shard 2] 324,001 rows (179/s)
[shard 2] 326,001 rows (177/s)
[shard 2] 328,997 rows (176/s)
[shard 2] 330,391 rows (174/s)
[shard 2] 332,001 rows (171/s)
[shard 2] 334,001 rows (168/s)
[shard 2] 338,001 rows (166/s)
[shard 2] 341,187 rows (165/s)
[shard 2] 344,001 rows (164/s)
[shard 2] 347,697 rows (163/s)
[shard 2] 350,001 rows (161/s)
[shard 2] 354,001 rows (161/s)
[shard 2] 358,001 rows (160/s)
[shard 2] 362,001 rows (160/s)
[shard 2] 366,001 rows (159/s)
[shard 2] 370,001 rows (158/s)
[shard 2] 372,184 rows (157/s)
[shard 2] 376,493 rows (157/s)
[shard 2] 382,001 rows (157/s)
[shard 2] 386,001 rows (156/s)
[shard 2] 392,001 rows (156/s)
[shard 2] 398,001 rows (157/s)
[shard 2] 404,405 rows (157/s)
[shard 2] 410,001 rows (157/s)
[shard 2] 416,189 rows (158/s)
[shard 2] 421,307 rows (158/s)
[shard 2] 426,001 rows (158/s)
[shard 2] 430,716 rows (158/s)
[shard 2] 435,007 rows (157/s)
[shard 2] 438,593 rows (157/s)
[shard 2] 442,001 rows (156/s)
[shard 2] 444,516 rows (155/s)
[shard 2] 446,001 rows (154/s)
[shard 2] 450,001 rows (153/s)
[shard 2] 454,001 rows (152/s)
[shard 2] 458,001 rows (151/s)
[shard 2] 462,001 rows (151/s)
[shard 2] 466,756 rows (151/s)
[shard 2] 470,001 rows (150/s)
[shard 2] 474,001 rows (150/s)
[shard 2] 478,942 rows (150/s)
[shard 2] 482,375 rows (150/s)
[shard 2] 486,001 rows (149/s)
[shard 2] 490,001 rows (149/s)
[shard 2] 494,706 rows (149/s)
[shard 2] 498,339 rows (149/s)
[shard 2] 502,066 rows (149/s)
[shard 2] 506,001 rows (148/s)
[shard 2] 509,244 rows (148/s)
[shard 2] 512,001 rows (147/s)
[shard 2] 514,959 rows (147/s)
[shard 2] 518,001 rows (146/s)
[shard 2] 521,983 rows (146/s)
[shard 2] 524,001 rows (145/s)
[shard 2] 528,001 rows (145/s)
[shard 2] 532,001 rows (144/s)
[shard 2] 536,001 rows (144/s)
[shard 2] 540,824 rows (144/s)
[shard 2] 545,889 rows (144/s)
[shard 2] 550,001 rows (144/s)
[shard 2] 554,664 rows (144/s)
[shard 2] 559,606 rows (145/s)
[shard 2] 564,648 rows (145/s)
[shard 2] 569,163 rows (145/s)
[shard 2] 576,001 rows (145/s)
[shard 2] 584,829 rows (147/s)
[shard 2] 592,001 rows (147/s)
[shard 2] 599,133 rows (148/s)
[shard 2] 606,175 rows (148/s)
[shard 2] 613,392 rows (149/s)
[shard 2] 622,001 rows (150/s)
[shard 2] 634,612 rows (152/s)
[shard 2] 645,387 rows (153/s)
[shard 2] DONE 651,701 opinions, 4,332,817 anchored cites in 70.4 min
