[shard 7] 7,351 rows (245/s)
[shard 7] 16,493 rows (275/s)
[shard 7] 25,196 rows (280/s)
[shard 7] 33,283 rows (277/s)
[shard 7] 40,138 rows (267/s)
[shard 7] 47,846 rows (266/s)
[shard 7] 55,684 rows (265/s)
[shard 7] 63,787 rows (266/s)
[shard 7] 77,371 rows (286/s)
[shard 7] 85,971 rows (286/s)
[shard 7] 93,802 rows (284/s)
[shard 7] 102,452 rows (284/s)
[shard 7] 113,188 rows (290/s)
[shard 7] 122,599 rows (292/s)
[shard 7] 131,394 rows (292/s)
[shard 7] 140,378 rows (292/s)
[shard 7] 151,230 rows (296/s)
[shard 7] 162,200 rows (300/s)
[shard 7] 172,634 rows (303/s)
[shard 7] 181,575 rows (302/s)
[shard 7] 190,774 rows (303/s)
[shard 7] 199,484 rows (302/s)
[shard 7] 207,456 rows (301/s)
[shard 7] 214,979 rows (298/s)
[shard 7] 222,703 rows (297/s)
[shard 7] 230,792 rows (296/s)
[shard 7] 238,977 rows (295/s)
[shard 7] 247,853 rows (295/s)
[shard 7] 257,243 rows (296/s)
[shard 7] 265,712 rows (295/s)
[shard 7] 273,560 rows (294/s)
[shard 7] 281,606 rows (293/s)
[shard 7] 289,819 rows (293/s)
[shard 7] 297,107 rows (291/s)
[shard 7] 305,077 rows (290/s)
[shard 7] 309,063 rows (286/s)
[shard 7] 312,001 rows (281/s)
[shard 7] 316,126 rows (277/s)
[shard 7] 321,167 rows (274/s)
[shard 7] 324,991 rows (270/s)
[shard 7] 329,783 rows (268/s)
[shard 7] 334,831 rows (265/s)
[shard 7] 339,904 rows (263/s)
[shard 7] 345,666 rows (261/s)
[shard 7] 351,222 rows (260/s)
[shard 7] 356,184 rows (258/s)
[shard 7] 362,001 rows (255/s)
[shard 7] 366,652 rows (253/s)
[shard 7] 370,377 rows (251/s)
[shard 7] 374,619 rows (248/s)
[shard 7] 378,001 rows (246/s)
[shard 7] 382,522 rows (244/s)
[shard 7] 387,904 rows (243/s)
[shard 7] 392,727 rows (241/s)
[shard 7] 397,131 rows (239/s)
[shard 7] 400,001 rows (236/s)
[shard 7] 404,001 rows (233/s)
[shard 7] 408,001 rows (231/s)
[shard 7] 412,001 rows (228/s)
[shard 7] 414,001 rows (225/s)
[shard 7] 418,001 rows (224/s)
[shard 7] 421,558 rows (222/s)
[shard 7] 424,617 rows (220/s)
[shard 7] 427,915 rows (219/s)
[shard 7] 430,732 rows (217/s)
[shard 7] 434,001 rows (215/s)
[shard 7] 437,458 rows (213/s)
[shard 7] 440,001 rows (211/s)
[shard 7] 444,001 rows (209/s)
[shard 7] 448,001 rows (208/s)
[shard 7] 450,960 rows (206/s)
[shard 7] 454,001 rows (205/s)
[shard 7] 458,851 rows (204/s)
[shard 7] 462,001 rows (203/s)
[shard 7] 466,001 rows (201/s)
[shard 7] 469,173 rows (200/s)
[shard 7] 472,001 rows (198/s)
[shard 7] 476,001 rows (197/s)
[shard 7] 478,001 rows (195/s)
[shard 7] 482,001 rows (194/s)
[shard 7] 487,050 rows (194/s)
[shard 7] 490,658 rows (193/s)
[shard 7] 494,557 rows (192/s)
[shard 7] 497,726 rows (191/s)
[shard 7] 502,001 rows (190/s)
[shard 7] 505,319 rows (189/s)
[shard 7] 508,001 rows (188/s)
[shard 7] 512,001 rows (187/s)
[shard 7] 515,983 rows (186/s)
[shard 7] 518,001 rows (184/s)
[shard 7] 521,847 rows (183/s)
[shard 7] 524,001 rows (181/s)
[shard 7] 528,001 rows (180/s)
[shard 7] 532,001 rows (179/s)
[shard 7] 536,001 rows (178/s)
[shard 7] 538,476 rows (177/s)
[shard 7] 542,621 rows (176/s)
[shard 7] 545,092 rows (175/s)
[shard 7] 548,001 rows (175/s)
[shard 7] 552,001 rows (174/s)
[shard 7] 558,001 rows (174/s)
[shard 7] 562,001 rows (173/s)
[shard 7] 566,001 rows (172/s)
[shard 7] 570,745 rows (172/s)
[shard 7] 575,736 rows (172/s)
[shard 7] 580,001 rows (172/s)
[shard 7] 584,322 rows (172/s)
[shard 7] 587,589 rows (171/s)
[shard 7] 590,739 rows (171/s)
[shard 7] 594,001 rows (170/s)
[shard 7] 597,170 rows (169/s)
[shard 7] 601,792 rows (169/s)
[shard 7] 606,001 rows (169/s)
[shard 7] 610,456 rows (168/s)
[shard 7] 614,001 rows (167/s)
[shard 7] 616,844 rows (166/s)
[shard 7] 620,001 rows (166/s)
[shard 7] 624,001 rows (165/s)
[shard 7] 636,165 rows (167/s)
[shard 7] 652,136 rows (170/s)
[shard 7] 669,411 rows (173/s)
[shard 7] 685,561 rows (176/s)
[shard 7] 701,113 rows (178/s)
[shard 7] 722,200 rows (182/s)
[shard 7] 744,339 rows (186/s)
[shard 7] 766,944 rows (191/s)
[shard 7] DONE 772,354 opinions, 4,258,973 anchored cites in 67.2 min
