[shard 3] 6,721 rows (224/s)
[shard 3] 12,698 rows (212/s)
[shard 3] 18,770 rows (208/s)
[shard 3] 24,151 rows (201/s)
[shard 3] 29,283 rows (195/s)
[shard 3] 34,538 rows (192/s)
[shard 3] 40,001 rows (190/s)
[shard 3] 45,448 rows (189/s)
[shard 3] 51,943 rows (192/s)
[shard 3] 58,255 rows (194/s)
[shard 3] 63,651 rows (193/s)
[shard 3] 69,432 rows (193/s)
[shard 3] 75,343 rows (193/s)
[shard 3] 80,336 rows (191/s)
[shard 3] 85,793 rows (191/s)
[shard 3] 92,001 rows (191/s)
[shard 3] 98,217 rows (192/s)
[shard 3] 104,821 rows (194/s)
[shard 3] 111,265 rows (195/s)
[shard 3] 116,001 rows (193/s)
[shard 3] 121,940 rows (193/s)
[shard 3] 127,329 rows (192/s)
[shard 3] 132,485 rows (191/s)
[shard 3] 136,864 rows (189/s)
[shard 3] 141,035 rows (187/s)
[shard 3] 145,277 rows (186/s)
[shard 3] 149,144 rows (184/s)
[shard 3] 153,700 rows (182/s)
[shard 3] 157,881 rows (181/s)
[shard 3] 162,001 rows (179/s)
[shard 3] 166,272 rows (177/s)
[shard 3] 170,123 rows (176/s)
[shard 3] 175,595 rows (176/s)
[shard 3] 180,457 rows (176/s)
[shard 3] 185,940 rows (176/s)
[shard 3] 188,933 rows (174/s)
[shard 3] 192,001 rows (171/s)
[shard 3] 197,384 rows (171/s)
[shard 3] 202,001 rows (170/s)
[shard 3] 206,520 rows (170/s)
[shard 3] 212,001 rows (170/s)
[shard 3] 217,558 rows (170/s)
[shard 3] 222,001 rows (169/s)
[shard 3] 227,785 rows (170/s)
[shard 3] 232,515 rows (170/s)
[shard 3] 238,001 rows (170/s)
[shard 3] 242,001 rows (169/s)
[shard 3] 246,001 rows (168/s)
[shard 3] 250,130 rows (167/s)
[shard 3] 252,618 rows (165/s)
[shard 3] 256,001 rows (164/s)
[shard 3] 260,001 rows (163/s)
[shard 3] 264,001 rows (162/s)
[shard 3] 267,801 rows (161/s)
[shard 3] 270,001 rows (159/s)
[shard 3] 272,928 rows (157/s)
[shard 3] 275,844 rows (156/s)
[shard 3] 277,685 rows (155/s)
[shard 3] 278,524 rows (153/s)
[shard 3] 281,625 rows (152/s)
[shard 3] 284,001 rows (150/s)
[shard 3] 286,991 rows (149/s)
[shard 3] 288,344 rows (148/s)
[shard 3] 291,000 rows (147/s)
[shard 3] 294,001 rows (145/s)
[shard 3] 296,479 rows (144/s)
[shard 3] 300,001 rows (143/s)
[shard 3] 303,646 rows (143/s)
[shard 3] 306,001 rows (142/s)
[shard 3] 308,001 rows (141/s)
[shard 3] 310,302 rows (140/s)
[shard 3] 313,417 rows (139/s)
[shard 3] 315,642 rows (139/s)
[shard 3] 318,001 rows (137/s)
[shard 3] 321,116 rows (137/s)
[shard 3] 324,001 rows (136/s)
[shard 3] 327,763 rows (136/s)
[shard 3] 328,942 rows (134/s)
[shard 3] 332,001 rows (133/s)
[shard 3] 335,467 rows (133/s)
[shard 3] 338,001 rows (132/s)
[shard 3] 341,874 rows (132/s)
[shard 3] 342,859 rows (131/s)
[shard 3] 346,001 rows (131/s)
[shard 3] 348,831 rows (130/s)
[shard 3] 350,992 rows (129/s)
[shard 3] 352,410 rows (129/s)
[shard 3] 355,455 rows (128/s)
[shard 3] 357,300 rows (128/s)
[shard 3] 358,393 rows (127/s)
[shard 3] 361,136 rows (126/s)
[shard 3] 362,001 rows (125/s)
[shard 3] 365,351 rows (125/s)
[shard 3] 368,001 rows (124/s)
[shard 3] 371,549 rows (124/s)
[shard 3] 372,223 rows (123/s)
[shard 3] 375,282 rows (123/s)
[shard 3] 378,001 rows (122/s)
[shard 3] 382,001 rows (122/s)
[shard 3] 385,453 rows (122/s)
[shard 3] 388,001 rows (121/s)
[shard 3] 391,513 rows (121/s)
[shard 3] 394,001 rows (120/s)
[shard 3] 398,001 rows (120/s)
[shard 3] 402,001 rows (120/s)
[shard 3] 406,001 rows (120/s)
[shard 3] 409,362 rows (120/s)
[shard 3] 411,677 rows (119/s)
[shard 3] 414,001 rows (119/s)
[shard 3] 416,753 rows (119/s)
[shard 3] 418,202 rows (118/s)
[shard 3] 421,871 rows (118/s)
[shard 3] 425,069 rows (118/s)
[shard 3] 428,337 rows (118/s)
[shard 3] 432,001 rows (118/s)
[shard 3] 436,001 rows (117/s)
[shard 3] 439,082 rows (117/s)
[shard 3] 442,001 rows (117/s)
[shard 3] 446,001 rows (117/s)
[shard 3] 449,564 rows (117/s)
[shard 3] 453,447 rows (117/s)
[shard 3] 456,937 rows (117/s)
[shard 3] 461,464 rows (117/s)
[shard 3] 466,041 rows (117/s)
[shard 3] 470,001 rows (117/s)
[shard 3] 473,930 rows (117/s)
[shard 3] 478,001 rows (117/s)
[shard 3] 485,589 rows (118/s)
[shard 3] 492,454 rows (119/s)
[shard 3] DONE 495,194 opinions, 5,367,405 anchored cites in 69.1 min
