[shard 1] 7,834 rows (261/s)
[shard 1] 18,314 rows (305/s)
[shard 1] 28,349 rows (315/s)
[shard 1] 38,192 rows (318/s)
[shard 1] 46,655 rows (311/s)
[shard 1] 55,841 rows (310/s)
[shard 1] 66,153 rows (315/s)
[shard 1] 78,301 rows (326/s)
[shard 1] 90,301 rows (334/s)
[shard 1] 104,001 rows (346/s)
[shard 1] 116,257 rows (352/s)
[shard 1] 128,622 rows (357/s)
[shard 1] 139,837 rows (358/s)
[shard 1] 148,592 rows (353/s)
[shard 1] 156,822 rows (348/s)
[shard 1] 168,001 rows (349/s)
[shard 1] 179,135 rows (350/s)
[shard 1] 188,736 rows (349/s)
[shard 1] 198,466 rows (347/s)
[shard 1] 206,001 rows (342/s)
[shard 1] 215,601 rows (341/s)
[shard 1] 222,594 rows (336/s)
[shard 1] 230,721 rows (333/s)
[shard 1] 237,107 rows (328/s)
[shard 1] 245,946 rows (327/s)
[shard 1] 253,861 rows (324/s)
[shard 1] 261,368 rows (322/s)
[shard 1] 270,001 rows (320/s)
[shard 1] 279,959 rows (321/s)
[shard 1] 289,267 rows (320/s)
[shard 1] 296,001 rows (317/s)
[shard 1] 304,935 rows (316/s)
[shard 1] 313,771 rows (316/s)
[shard 1] 322,361 rows (315/s)
[shard 1] 332,001 rows (314/s)
[shard 1] 337,323 rows (310/s)
[shard 1] 343,351 rows (307/s)
[shard 1] 352,050 rows (307/s)
[shard 1] 359,750 rows (306/s)
[shard 1] 368,088 rows (305/s)
[shard 1] 378,472 rows (306/s)
[shard 1] 390,001 rows (307/s)
[shard 1] 402,001 rows (309/s)
[shard 1] 414,001 rows (311/s)
[shard 1] 422,759 rows (311/s)
[shard 1] 432,001 rows (310/s)
[shard 1] 442,541 rows (311/s)
[shard 1] 448,050 rows (309/s)
[shard 1] 456,139 rows (308/s)
[shard 1] 462,833 rows (306/s)
[shard 1] 470,001 rows (305/s)
[shard 1] 479,882 rows (305/s)
[shard 1] 490,268 rows (306/s)
[shard 1] 499,590 rows (306/s)
[shard 1] 508,001 rows (305/s)
[shard 1] 515,473 rows (304/s)
[shard 1] 522,351 rows (303/s)
[shard 1] 532,001 rows (303/s)
[shard 1] 540,625 rows (303/s)
[shard 1] 546,001 rows (300/s)
[shard 1] 553,876 rows (300/s)
[shard 1] 561,551 rows (299/s)
[shard 1] 568,001 rows (297/s)
[shard 1] 572,724 rows (295/s)
[shard 1] 576,151 rows (292/s)
[shard 1] 582,001 rows (291/s)
[shard 1] 588,001 rows (289/s)
[shard 1] 594,698 rows (288/s)
[shard 1] 602,001 rows (287/s)
[shard 1] 608,001 rows (285/s)
[shard 1] 612,582 rows (284/s)
[shard 1] 617,923 rows (282/s)
[shard 1] 624,634 rows (281/s)
[shard 1] 634,001 rows (282/s)
[shard 1] 638,001 rows (280/s)
[shard 1] 644,001 rows (278/s)
[shard 1] 652,001 rows (277/s)
[shard 1] 659,775 rows (277/s)
[shard 1] 664,001 rows (275/s)
[shard 1] 670,881 rows (275/s)
[shard 1] 678,001 rows (274/s)
[shard 1] 688,154 rows (275/s)
[shard 1] 698,001 rows (275/s)
[shard 1] 710,001 rows (276/s)
[shard 1] 716,001 rows (275/s)
[shard 1] 722,001 rows (274/s)
[shard 1] 726,001 rows (273/s)
[shard 1] 732,001 rows (271/s)
[shard 1] 736,583 rows (270/s)
[shard 1] 742,001 rows (269/s)
[shard 1] 746,702 rows (267/s)
[shard 1] 752,001 rows (266/s)
[shard 1] 758,001 rows (265/s)
[shard 1] 762,001 rows (263/s)
[shard 1] 768,001 rows (262/s)
[shard 1] 773,950 rows (261/s)
[shard 1] 778,835 rows (260/s)
[shard 1] 783,880 rows (259/s)
[shard 1] 788,302 rows (258/s)
[shard 1] 795,316 rows (258/s)
[shard 1] 799,699 rows (257/s)
[shard 1] 805,746 rows (256/s)
[shard 1] 810,781 rows (255/s)
[shard 1] 818,001 rows (255/s)
[shard 1] 823,583 rows (254/s)
[shard 1] 829,420 rows (254/s)
[shard 1] 834,081 rows (253/s)
[shard 1] 841,330 rows (253/s)
[shard 1] 848,321 rows (253/s)
[shard 1] 854,812 rows (252/s)
[shard 1] 860,001 rows (251/s)
[shard 1] 866,001 rows (250/s)
[shard 1] 874,001 rows (250/s)
[shard 1] 880,001 rows (250/s)
[shard 1] 885,949 rows (249/s)
[shard 1] 892,752 rows (249/s)
[shard 1] 899,576 rows (249/s)
[shard 1] 907,087 rows (249/s)
[shard 1] 913,134 rows (248/s)
[shard 1] 919,667 rows (248/s)
[shard 1] 928,001 rows (248/s)
[shard 1] 936,415 rows (248/s)
[shard 1] DONE 941,913 opinions, 3,009,420 anchored cites in 63.1 min
