[shard 4] 5,759 rows (192/s)
[shard 4] 12,429 rows (207/s)
[shard 4] 18,001 rows (200/s)
[shard 4] 24,259 rows (202/s)
[shard 4] 29,563 rows (197/s)
[shard 4] 34,930 rows (194/s)
[shard 4] 40,950 rows (195/s)
[shard 4] 46,596 rows (194/s)
[shard 4] 54,001 rows (199/s)
[shard 4] 61,942 rows (206/s)
[shard 4] 67,701 rows (204/s)
[shard 4] 74,001 rows (205/s)
[shard 4] 81,723 rows (209/s)
[shard 4] 86,896 rows (206/s)
[shard 4] 92,581 rows (205/s)
[shard 4] 99,514 rows (207/s)
[shard 4] 106,734 rows (209/s)
[shard 4] 114,001 rows (210/s)
[shard 4] 120,001 rows (209/s)
[shard 4] 126,001 rows (209/s)
[shard 4] 132,189 rows (209/s)
[shard 4] 138,001 rows (207/s)
[shard 4] 142,001 rows (204/s)
[shard 4] 145,800 rows (201/s)
[shard 4] 148,543 rows (196/s)
[shard 4] 152,164 rows (193/s)
[shard 4] 156,609 rows (192/s)
[shard 4] 161,793 rows (191/s)
[shard 4] 167,852 rows (191/s)
[shard 4] 172,822 rows (191/s)
[shard 4] 178,076 rows (190/s)
[shard 4] 183,465 rows (190/s)
[shard 4] 188,097 rows (189/s)
[shard 4] 193,618 rows (189/s)
[shard 4] 199,443 rows (189/s)
[shard 4] 202,508 rows (186/s)
[shard 4] 206,604 rows (185/s)
[shard 4] 211,550 rows (184/s)
[shard 4] 213,329 rows (181/s)
[shard 4] 214,969 rows (178/s)
[shard 4] 217,797 rows (176/s)
[shard 4] 220,001 rows (173/s)
[shard 4] 223,263 rows (171/s)
[shard 4] 226,001 rows (169/s)
[shard 4] 228,981 rows (167/s)
[shard 4] 232,001 rows (165/s)
[shard 4] 234,113 rows (163/s)
[shard 4] 236,248 rows (161/s)
[shard 4] 238,414 rows (159/s)
[shard 4] 240,001 rows (157/s)
[shard 4] 242,001 rows (155/s)
[shard 4] 244,594 rows (153/s)
[shard 4] 247,246 rows (152/s)
[shard 4] 248,840 rows (150/s)
[shard 4] 251,648 rows (149/s)
[shard 4] 256,001 rows (149/s)
[shard 4] 260,774 rows (149/s)
[shard 4] 266,001 rows (149/s)
[shard 4] 270,001 rows (149/s)
[shard 4] 274,001 rows (148/s)
[shard 4] 278,001 rows (148/s)
[shard 4] 282,001 rows (147/s)
[shard 4] 284,707 rows (146/s)
[shard 4] 288,565 rows (146/s)
[shard 4] 292,912 rows (146/s)
[shard 4] 296,001 rows (145/s)
[shard 4] 300,004 rows (145/s)
[shard 4] 304,001 rows (145/s)
[shard 4] 308,223 rows (145/s)
[shard 4] 312,001 rows (143/s)
[shard 4] 316,001 rows (142/s)
[shard 4] 320,001 rows (142/s)
[shard 4] 324,001 rows (142/s)
[shard 4] 327,453 rows (141/s)
[shard 4] 330,001 rows (140/s)
[shard 4] 334,001 rows (140/s)
[shard 4] 338,831 rows (140/s)
[shard 4] 342,001 rows (139/s)
[shard 4] 346,001 rows (139/s)
[shard 4] 350,001 rows (138/s)
[shard 4] 354,001 rows (138/s)
[shard 4] 358,001 rows (138/s)
[shard 4] 362,001 rows (137/s)
[shard 4] 365,204 rows (137/s)
[shard 4] 368,001 rows (136/s)
[shard 4] 372,001 rows (136/s)
[shard 4] 376,001 rows (135/s)
[shard 4] 380,001 rows (135/s)
[shard 4] 384,001 rows (134/s)
[shard 4] 386,001 rows (133/s)
[shard 4] 391,089 rows (134/s)
[shard 4] 395,276 rows (134/s)
[shard 4] 398,328 rows (133/s)
[shard 4] 402,001 rows (133/s)
[shard 4] 406,096 rows (133/s)
[shard 4] 412,001 rows (133/s)
[shard 4] 415,998 rows (133/s)
[shard 4] 418,103 rows (133/s)
[shard 4] 422,851 rows (133/s)
[shard 4] 427,140 rows (133/s)
[shard 4] 430,138 rows (133/s)
[shard 4] 435,326 rows (133/s)
[shard 4] 440,001 rows (133/s)
[shard 4] 445,653 rows (134/s)
[shard 4] 450,529 rows (134/s)
[shard 4] 456,512 rows (135/s)
[shard 4] 460,001 rows (134/s)
[shard 4] 464,001 rows (134/s)
[shard 4] 469,603 rows (135/s)
[shard 4] 472,112 rows (134/s)
[shard 4] 476,001 rows (134/s)
[shard 4] 481,369 rows (134/s)
[shard 4] 485,149 rows (134/s)
[shard 4] 488,001 rows (134/s)
[shard 4] 491,286 rows (134/s)
[shard 4] 494,001 rows (133/s)
[shard 4] 498,001 rows (133/s)
[shard 4] 501,583 rows (133/s)
[shard 4] 504,001 rows (132/s)
[shard 4] 509,261 rows (132/s)
[shard 4] 512,108 rows (132/s)
[shard 4] 516,001 rows (132/s)
[shard 4] 522,001 rows (132/s)
[shard 4] 528,001 rows (133/s)
[shard 4] 536,001 rows (134/s)
[shard 4] 544,604 rows (135/s)
[shard 4] 552,389 rows (136/s)
[shard 4] 561,378 rows (137/s)
[shard 4] 570,001 rows (138/s)
[shard 4] 584,360 rows (140/s)
[shard 4] 600,001 rows (143/s)
[shard 4] 612,001 rows (145/s)
[shard 4] 625,151 rows (147/s)
[shard 4] 638,079 rows (149/s)
[shard 4] 652,001 rows (151/s)
[shard 4] 665,343 rows (153/s)
[shard 4] 681,669 rows (156/s)
[shard 4] DONE 695,463 opinions, 3,862,675 anchored cites in 73.4 min
