[shard 10] 6,670 rows (222/s)
[shard 10] 13,140 rows (219/s)
[shard 10] 20,272 rows (225/s)
[shard 10] 27,079 rows (226/s)
[shard 10] 33,843 rows (226/s)
[shard 10] 40,744 rows (226/s)
[shard 10] 47,975 rows (228/s)
[shard 10] 54,821 rows (228/s)
[shard 10] 62,001 rows (229/s)
[shard 10] 69,906 rows (233/s)
[shard 10] 76,001 rows (230/s)
[shard 10] 83,923 rows (232/s)
[shard 10] 90,476 rows (231/s)
[shard 10] 97,376 rows (231/s)
[shard 10] 104,574 rows (232/s)
[shard 10] 112,001 rows (232/s)
[shard 10] 120,366 rows (235/s)
[shard 10] 128,940 rows (238/s)
[shard 10] 138,120 rows (241/s)
[shard 10] 144,434 rows (240/s)
[shard 10] 153,492 rows (243/s)
[shard 10] 162,001 rows (244/s)
[shard 10] 170,137 rows (245/s)
[shard 10] 176,701 rows (244/s)
[shard 10] 183,031 rows (243/s)
[shard 10] 189,033 rows (241/s)
[shard 10] 194,012 rows (238/s)
[shard 10] 200,334 rows (238/s)
[shard 10] 208,001 rows (238/s)
[shard 10] 215,306 rows (238/s)
[shard 10] 223,242 rows (239/s)
[shard 10] 230,037 rows (238/s)
[shard 10] 236,001 rows (237/s)
[shard 10] 242,479 rows (236/s)
[shard 10] 249,969 rows (237/s)
[shard 10] 255,733 rows (235/s)
[shard 10] 262,001 rows (235/s)
[shard 10] 271,670 rows (237/s)
[shard 10] 279,963 rows (238/s)
[shard 10] 286,837 rows (238/s)
[shard 10] 295,193 rows (239/s)
[shard 10] 305,114 rows (241/s)
[shard 10] 316,001 rows (244/s)
[shard 10] 328,800 rows (248/s)
[shard 10] 339,957 rows (250/s)
[shard 10] 352,090 rows (254/s)
[shard 10] 364,001 rows (257/s)
[shard 10] 374,585 rows (259/s)
[shard 10] 383,875 rows (260/s)
[shard 10] 392,981 rows (261/s)
[shard 10] 399,921 rows (260/s)
[shard 10] 406,436 rows (259/s)
[shard 10] 415,544 rows (260/s)
[shard 10] 424,014 rows (261/s)
[shard 10] 434,136 rows (262/s)
[shard 10] 442,001 rows (262/s)
[shard 10] 448,001 rows (261/s)
[shard 10] 456,001 rows (261/s)
[shard 10] 464,001 rows (260/s)
[shard 10] 469,314 rows (259/s)
[shard 10] 476,001 rows (258/s)
[shard 10] 481,124 rows (256/s)
[shard 10] 484,001 rows (251/s)
[shard 10] 487,230 rows (248/s)
[shard 10] 493,448 rows (248/s)
[shard 10] 496,001 rows (244/s)
[shard 10] 498,001 rows (241/s)
[shard 10] 500,745 rows (239/s)
[shard 10] 505,735 rows (238/s)
[shard 10] 512,001 rows (237/s)
[shard 10] 519,243 rows (237/s)
[shard 10] 528,887 rows (238/s)
[shard 10] 540,916 rows (241/s)
[shard 10] 550,602 rows (242/s)
[shard 10] 560,001 rows (242/s)
[shard 10] 572,585 rows (244/s)
[shard 10] 585,367 rows (247/s)
[shard 10] 601,884 rows (250/s)
[shard 10] 612,164 rows (252/s)
[shard 10] 619,503 rows (251/s)
[shard 10] 635,093 rows (255/s)
[shard 10] 648,001 rows (257/s)
[shard 10] 659,039 rows (258/s)
[shard 10] 669,789 rows (259/s)
[shard 10] 676,001 rows (259/s)
[shard 10] 684,001 rows (258/s)
[shard 10] 690,318 rows (257/s)
[shard 10] 700,001 rows (258/s)
[shard 10] 708,001 rows (258/s)
[shard 10] 713,264 rows (257/s)
[shard 10] 720,001 rows (256/s)
[shard 10] 726,001 rows (255/s)
[shard 10] 730,778 rows (254/s)
[shard 10] 735,923 rows (253/s)
[shard 10] 742,001 rows (253/s)
[shard 10] 751,787 rows (253/s)
[shard 10] 758,675 rows (253/s)
[shard 10] 764,083 rows (252/s)
[shard 10] 771,044 rows (252/s)
[shard 10] 778,001 rows (252/s)
[shard 10] 786,796 rows (252/s)
[shard 10] 795,833 rows (252/s)
[shard 10] 807,302 rows (254/s)
[shard 10] 818,001 rows (255/s)
[shard 10] 830,840 rows (256/s)
[shard 10] DONE 839,769 opinions, 4,348,331 anchored cites in 54.5 min
